Wall time,Step,Value
1704813895.3723238,0,0.011105108074843884
1704813915.2658699,1,0.020621785894036293
1704813933.8142233,2,0.036610767245292664
1704813953.5200155,3,0.06612203270196915
1704813973.2618804,4,0.10827507823705673
1704813992.5671144,5,0.1387394368648529
1704814011.5724783,6,0.1778232604265213
1704814030.7607372,7,0.212763711810112
1704814050.1424856,8,0.24572652578353882
1704814070.1278725,9,0.2812865376472473
1704814089.5388324,10,0.31319546699523926
1704814108.8610396,11,0.3424989879131317
1704814130.013709,12,0.3496987521648407
1704814149.6819172,13,0.39906811714172363
1704814168.8286855,14,0.40737810730934143
1704814188.9735003,15,0.4260275959968567
1704814208.0029132,16,0.43282946944236755
1704814227.2607856,17,0.44517770409584045
1704814246.513018,18,0.46398401260375977
1704814265.8600433,19,0.46668341755867004
1704814285.8497841,20,0.458096444606781
1704814303.9016657,21,0.4748457968235016
1704814323.333413,22,0.4768316149711609
1704814342.8677714,23,0.48302116990089417
1704814361.369341,24,0.4856409728527069
1704814379.9432967,25,0.48474040627479553
1704814398.345006,26,0.49731871485710144
1704814417.351073,27,0.5030204057693481
1704814437.281482,28,0.5097219944000244
1704814455.6752808,29,0.5018630027770996
1704814474.9393773,30,0.5179459452629089
1704814493.5008054,31,0.509448230266571
1704814511.9359725,32,0.5119850635528564
1704814530.049417,33,0.528884768486023
1704814549.483469,34,0.5117634534835815
1704814569.2080617,35,0.5163809061050415
1704814587.9090965,36,0.5177962183952332
1704814606.7961602,37,0.5199482440948486
1704814625.346884,38,0.5255566239356995
1704814645.4093826,39,0.5421962738037109
1704814665.2112832,40,0.5312312245368958
1704814684.5941758,41,0.5348562002182007
1704814702.8995173,42,0.5490861535072327
1704814721.879759,43,0.5353356599807739
1704814740.8163006,44,0.5326485633850098
1704814760.6424963,45,0.5384664535522461
1704814779.6782928,46,0.5468533039093018
1704814798.3305762,47,0.5350757837295532
1704814817.3114762,48,0.5431678295135498
1704814835.9629002,49,0.5263131856918335
1704814855.1427164,50,0.5489551424980164
1704814873.3314886,51,0.542242705821991
1704814892.1137803,52,0.546676516532898
1704814910.7498586,53,0.5431304574012756
1704814929.5353057,54,0.5478957295417786
1704814949.577416,55,0.5477911233901978
1704814969.427916,56,0.5383313894271851
1704814989.449069,57,0.5459367036819458
1704815008.924517,58,0.549043595790863
1704815028.8627734,59,0.5510925650596619
1704815046.8992999,60,0.5505145788192749
1704815067.8382432,61,0.5383684635162354
1704815087.793319,62,0.5465919375419617
1704815106.741977,63,0.5574126839637756
1704815125.3387365,64,0.5379864573478699
1704815143.877571,65,0.5520200729370117
1704815163.109474,66,0.5416144728660583
1704815181.8657572,67,0.5598587393760681
1704815201.6745675,68,0.5380220413208008
1704815220.3600624,69,0.5471860766410828
1704815240.5218954,70,0.5552965998649597
1704815260.5878396,71,0.5568906664848328
1704815278.756239,72,0.5579375624656677
1704815297.480216,73,0.5502026081085205
1704815316.0509865,74,0.5631899237632751
1704815335.1025758,75,0.5595089197158813
1704815355.3692665,76,0.5607134103775024
1704815373.9364383,77,0.5633653998374939
1704815393.8798404,78,0.5516282916069031
1704815412.7207446,79,0.5616937875747681
1704815432.9203663,80,0.55455482006073
1704815452.6428664,81,0.5521098375320435
1704815471.2059891,82,0.5754694938659668
1704815490.2133827,83,0.566232442855835
1704815508.729076,84,0.5501344799995422
1704815527.0479434,85,0.5614820122718811
1704815546.0025358,86,0.5581615567207336
1704815564.255678,87,0.5590989589691162
1704815583.7816927,88,0.5689722299575806
1704815602.537689,89,0.5698191523551941
1704815621.386133,90,0.5603331923484802
1704815640.351754,91,0.5639148354530334
1704815658.854327,92,0.5620139241218567
1704815677.3909824,93,0.5578324794769287
1704815696.2563035,94,0.5578768849372864
1704815715.3127067,95,0.5542502403259277
1704815734.0189667,96,0.5655370950698853
1704815752.5940075,97,0.557921826839447
1704815772.274036,98,0.5572329163551331
1704815790.827428,99,0.5637117028236389
1704815810.438195,100,0.5677251219749451
1704815830.4523213,101,0.5693380832672119
1704815848.9190307,102,0.5676745772361755
1704815867.6875684,103,0.5720289945602417
1704815886.7713797,104,0.5644177794456482
1704815905.5722022,105,0.5624594688415527
1704815923.6193485,106,0.5610119104385376
1704815942.0553875,107,0.5589033365249634
1704815960.6413033,108,0.561955451965332
1704815978.9785192,109,0.5668100118637085
1704815997.5504186,110,0.5631067752838135
1704816016.5526702,111,0.5559432506561279
1704816035.350735,112,0.5617310404777527
1704816055.0987656,113,0.5742143392562866
1704816075.3436964,114,0.5703814625740051
1704816095.5313666,115,0.5681102871894836
1704816114.0246282,116,0.5715397596359253
1704816132.7957106,117,0.5642799139022827
1704816151.4185283,118,0.5749515295028687
1704816171.1731102,119,0.574047327041626
1704816191.0857825,120,0.5757014155387878
1704816209.7309773,121,0.5799905061721802
1704816229.5779893,122,0.5683908462524414
1704816248.2391603,123,0.5724513530731201
1704816267.0070238,124,0.5641155242919922
1704816285.0976598,125,0.5661548376083374
1704816303.8995557,126,0.5763401389122009
1704816322.5836577,127,0.5716304779052734
1704816341.5741606,128,0.5774115920066833
1704816361.051046,129,0.5733166933059692
1704816380.9606884,130,0.581434428691864
1704816401.0315993,131,0.5665940046310425
1704816419.811738,132,0.5682239532470703
1704816438.0413983,133,0.5690550804138184
1704816456.3236628,134,0.564852237701416
1704816474.8461795,135,0.567895233631134
1704816493.279013,136,0.5736461281776428
1704816511.977264,137,0.5657158493995667
1704816530.6032503,138,0.5728567242622375
1704816551.0195282,139,0.5732355713844299
1704816569.7445111,140,0.5729036927223206
1704816589.2280576,141,0.5727455615997314
1704816607.7097673,142,0.5737283825874329
1704816626.285146,143,0.5659328699111938
1704816645.7681556,144,0.5799662470817566
1704816665.922607,145,0.5635587573051453
1704816686.2017672,146,0.5764599442481995
1704816705.9212675,147,0.5808357000350952
1704816725.9103408,148,0.5624182224273682
1704816745.7366157,149,0.5762036442756653
